Sr No,Building Name,Floor,Venue Name,Class Room/Lab/Seminar Hall,Class Room No/Lab No/Seminar Hall No,Length,D/h,Area (Sqm),"Capacity(eg 120, 50)","Features(eg projector, MIC , wifi, etc)",Pictures URL,"Venue Can be Used for(eg hands-on session, lecture, lab,etc)",Venue Location(eg  AC 101 is in AC first floor near boat club),Department incharge name,Department incharge phone number,Department incharge email,Department assistanrt name 1,Department assistanrt name 2,Campus (North/South)
1,,Academic Complex Building,,,,,,,,,,,,,,,,,
,,1st Floor,Academic Complex 101,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,1st Floor,Academic Complex 102,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,1st Floor,Academic Complex 103,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,1st Floor,Academic Complex 104,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd floor,Academic Complex 201,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd floor,Academic Complex 202,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd floor,Academic Complex 203,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd floor,Academic Complex 204,Class Room,4,10.65,11.34,483.08,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
2,E&TC Extension Building,Computer Department                 (E&TC Extension Building ) Ground Floor ,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor ,Seminar Hall,Seminar Hall,1,12.15,7.2,87.48,60,"TV,  Wifi",https://coepac-my.sharepoint.com/:i:/g/personal/ksp_comp_coeptech_ac_in/EXHWOoyhaSxHm7Lao21I5xQBIQJnC9zkwJAsWTPrz0VqbQ?e=iPwYTM,Lecture,"Seminar hall, Ground Floor, E&TC Extension Building",Aryan,1231231231,arnav.prasad.tech@gmail.com,Mr. Shriraj Chavhan,Mr. Shriraj Chavhan,North
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
3,,E&TC Old Building ,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,Class Room-1,Class Room-1,1,6,9.1,54.6,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,Class Room-2,Class Room-2,1,9.12,9.1,82.99,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,Class Room-3,Class Room-3,1,9.27,9.1,84.36,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor,Seminar Hall-1,Seminar Hall,1,12.46,9.1,113.39,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor,Seminar Hall-2,Seminar Hall,1,6.4,9.1,58.24,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
4,Acadmic Complex,Computer Department (in Acadmic Complex),,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,Acadmic Complex,2nd floor,Academic Complex 201,Class Room,4,10.65,11.34,483.08,72,"Projector,Mic, Speaker, Wifi",https://coepac-my.sharepoint.com/:i:/g/personal/ksp_comp_coeptech_ac_in/EY7XfX1KNQlMkCTxXJQI0BABleLdKq1eLj2eJ2QNIOqH1A?e=GsPQog,Lecture,AC 201 is in AC first floor near boat club,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,North
,Acadmic Complex,2nd floor,Academic Complex 202,Class Room,4,10.65,11.34,483.08,72,"Projector,Mic, Speaker, Wifi",https://coepac-my.sharepoint.com/:i:/g/personal/ksp_comp_coeptech_ac_in/EfGEwf925gBLsi9eaW-g3ykBCPS2_nS6iGvPHJ5mHA9sng?e=W93FeG,Lecture,AC 202 is in AC first floor near boat club,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,North
,Acadmic Complex,2nd floor,Academic Complex 203,Class Room,4,10.65,11.34,483.08,72,"Projector,Mic, Speaker, Wifi",https://coepac-my.sharepoint.com/:i:/g/personal/ksp_comp_coeptech_ac_in/ERduddtqsJtIm4vagtvySXMB-Qy2JgeP6JgyjARhwvcrfA?e=2yJlmo,Lecture,AC 203 is in AC first floor near boat club,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,North
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
5,,Instrumentation Engineering Department,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,Department of Instrumentation and Control Engineering,Ground Floor ,Seminar Hall I,Seminar Hall,1,10.68,5.45,58.21,40,"Smart Board, MIC, wifi",https://coepac-my.sharepoint.com/:i:/g/personal/kab_instru_coeptech_ac_in/Edav63Kjl2BLiMK7zwACu1gBt1v2VpqIYJvCvYyvpEESGg?e=FfvEO4,Lecture,Seminar hall I is at ground floor,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor,Class Room,Class Room,1,5.7,5.45,31.07,60,"TV,  Wifi",https://coepac-my.sharepoint.com/:i:/g/personal/kab_instru_coeptech_ac_in/EQV193k-k_pNq0ihEG9vBHIBUbOPsCqlm1XRtDJ9Dwq6qw?e=qgBbbB,Lecture,Classroom is at second floor,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor,Seminar Hall II,Seminar Hall,1,10.68,5.45,58.21,40,"TV,  Wifi",https://coepac-my.sharepoint.com/:i:/g/personal/kab_instru_coeptech_ac_in/Edav63Kjl2BLiMK7zwACu1gBt1v2VpqIYJvCvYyvpEESGg?e=yIhjgd,Lecture,Seminar hall II is at second floor,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
5,,Applied Mech,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,basement (Fluid Lab),basement (Fluid Lab),Lab,1,4.35,6.62,28.8,30,,Fluid Mechanics_Basement1.jpg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
